,author_id,created_at,edit_history_tweet_ids,id,text
0,1594095506589884418,2022-11-29 21:51:59+00:00,[1597709986356166656],1597709986356166656,"Why haven’t I lost weight😩😭
Bitch you haven’t shat in 3 days
#edtwt #meanspo #thinspo"
1,1597350491435909121,2022-11-29 21:19:19+00:00,[1597701763838009345],1597701763838009345,"🎀 not new to edtwt just relapsing !
🐇 18, black, 5’11, gw 120
🎀 allspo, dollcore, bimbofication
🐇 follow to be moots!
#edtwt #thinspo #fatspo https://t.co/7xPvcQHfiD"
2,1362153431767605252,2022-11-29 19:20:58+00:00,[1597671982275137536],1597671982275137536,"Heyyyy
Looking for moots on edtwt and shtwt!! Info's in my bio &lt;3

Not new to either of those, relapsed and came back (used to be on here 2 years ago)

Hoping this time I won't get s worded within 5 minutes :')

↻/♡ to be moots? 

#thinspo #edtwt #shtwt #styrofoamtwt #988twt"
3,1258537758005616640,2022-11-29 19:02:30+00:00,[1597667335082770432],1597667335082770432,we could eliminate “world hunger” by systematically conditioning poor people into аnоrехiсs #thinspo
4,1466830767598673923,2022-11-29 18:45:23+00:00,[1597663028123602945],1597663028123602945,"This is especially for CAMP, LAPD and the FBI...I sincerely wish you all to rot in hell...its too bad you don't look like this and want to believe a 57-year old faggot psychiatrist has a better body than me. You're a bunch or stupid, jealous fucks. #thinspo #psychopath https://t.co/lmOc31a9Rm"
5,1590499341168529408,2022-11-29 17:22:04+00:00,[1597642060743729158],1597642060743729158,her thigh gap😍 #edtwt #thinspo https://t.co/QuJrOoqArL
6,1524319975451860994,2022-11-29 17:13:30+00:00,[1597639903411830784],1597639903411830784,"Long as thinspo 🧵for edtwt 

#edtwt #thinspo #thinspothread https://t.co/YMcee1nQpr"
7,1526501130452480000,2022-11-29 16:26:27+00:00,[1597628062317043713],1597628062317043713,If VB is not ideal thinspo then I don't know what is #thinspo https://t.co/uqKLCNV3Fw
8,1526501130452480000,2022-11-29 16:07:43+00:00,[1597623348493979649],1597623348493979649,"Phoebe tonkin is perfect 😍😍
#thinspo #edtwt https://t.co/l6kBv18Mum"
9,1590366264630943744,2022-11-29 14:31:23+00:00,[1597599105223897089],1597599105223897089,"#thinspo #fatspo #edtwt bro nothing works to motivate me everytime I see thinspo my head go's ""you could be skinner they're not even that skinny"" and fatspo don't work either I just find it funny I'm actually dying here I need some extreme shit😭"
10,1463756364128342018,2022-11-29 14:30:31+00:00,[1597598889175314439],1597598889175314439,"#edtwt #thinspo #malespo #proana
Today's bad decision (I highly recommend if your vegan or can't do dairy) https://t.co/wtMAHPasWQ"
11,1528431282690002945,2022-11-29 14:16:06+00:00,[1597595258225037313],1597595258225037313,"down in ohio swag like ohio 
#edtwt #thinspo https://t.co/jWVwdE0Bbk"
12,1485487037163606021,2022-11-29 13:06:05+00:00,[1597577639409381380],1597577639409381380,"MIZZOURUNNER 

An #edtwt thread from the ThinPages user MIZZOURUNNER. #thinspo #anamia"
13,1466987310487154691,2022-11-29 12:20:34+00:00,[1597566186447077379],1597566186447077379,"becoming active again &lt;3 looking for some new moots 
- ‘05 (dni if under 15)
- sw: 220 (165 now) 
- she/her 
- twice stan !!!!! 

dni if not edtwt 
#edtwt #ricecale #fasting #thinspo omad 

↻ / ♡ to be moots"
14,1595477324744605698,2022-11-29 11:56:28+00:00,[1597560120451694592],1597560120451694592,"🩻 ;; masc and andro thinsp0/bonespo  thread —⁠☆
tags for reach 
[ #edtwtthread #edtwt #malespo #thinspo #bonespo #bonesp0 #thinsp0 #averagespo #fatspo ] https://t.co/cPaG273103"
15,1557379557426085891,2022-11-29 10:44:10+00:00,[1597541926944661504],1597541926944661504,"thanks for reading ヽ(≧∀≦)ﾉ☆
#edtwt #ricecrackertwt #edtwtthread #thinspo https://t.co/4EEWtBhv36"
16,1095303308279828481,2022-11-29 07:54:32+00:00,[1597499233497927683],1597499233497927683,the more i can see my bones stick out the happier i am :) #edtwt #thin #thinspo https://t.co/5bWgVnskS0
17,832291241429696512,2022-11-29 07:25:19+00:00,[1597491883407994880],1597491883407994880,"I haven't really bin losing weight the last week 🙄. I guess I've bin eating I bit more this week closer to 450 cal a day, also getting less exercise I've bin off work now.. cw 128lb #malethinspo #edtw #malespo #thinspo https://t.co/GkWm4OJSjK"
18,1590227671845244928,2022-11-29 06:47:45+00:00,[1597482429069266944],1597482429069266944,"-Sweetspo and thinspo allowed but  no meanspo, fatspo, or grosspo
-Inactive for 72hrs, you’re kicked
-15+
-Like, retweet, and dm me if you want to be added :)
#edtwt #ricecaketwt #thinspo"
19,1591783374536179713,2022-11-29 06:13:01+00:00,[1597473688361717760],1597473688361717760,"healthy very low cal meal ive been having is mozzarella cooked with spinach. i have a small amount. my mother makes it so i will find out exactly how she makes it, its very good for weight loss
#edtwt #thinspo #th1nsp0"
20,1591783374536179713,2022-11-29 06:09:09+00:00,[1597472714846937090],1597472714846937090,"recent foods:
carrot sticks, 25cal
puree fruit tubes, 50cal
baby tomatoes, 20cal
spinach and mozzarella, 50cal
cornflakes small bowl, 80cal
spoon of honey, 50cal
#edtwt #thinspo #th1nsp0"
21,1577503879830249474,2022-11-29 04:09:59+00:00,[1597442725598867456],1597442725598867456,Tags ⨾ #ricecaketwt #edtwt #ana #anatwt #thinspo #averagespo #meanspo #allspo #edtwtthread #edtwtthread #proana
22,1394836001965678592,2022-11-29 03:35:30+00:00,[1597434049194520577],1597434049194520577,anyone wanna do this diet with me??? pls 🙏🙏 #edtwt #diet #thinspo https://t.co/8U2lR2bE2b
23,1419028444822781953,2022-11-29 03:19:35+00:00,[1597430042035777539],1597430042035777539,#Thinspo #bonespo monster high diet #edtwtdiet https://t.co/oVk8PJG5Dk
24,1485487037163606021,2022-11-29 03:06:28+00:00,[1597426742213255168],1597426742213255168,"LITTLE_N0THING 

An #edtwt thread from the LiveJournal user LITTLE_N0THING. #thinspo #anamia"
25,1485487037163606021,2022-11-29 02:55:26+00:00,[1597423964116357120],1597423964116357120,"FLASHYBONZ 

An #edtwt thread from the LiveJournal user FLASHYBONZ. #thinspo #anamia"
26,1485636168276398082,2022-11-29 02:01:40+00:00,[1597410433757229057],1597410433757229057,"end of thread!! ♡ 
#edtwt #thinspo #miatwt #anatwt"
27,1527414439552630785,2022-11-29 01:42:01+00:00,[1597405486940565504],1597405486940565504,Slaying at track buttttttt my knee caps feel like they are going to explode #edtwt #meanspo #deathspo #thinspo #fatspo
28,1567849895947640834,2022-11-29 00:51:27+00:00,[1597392763016085505],1597392763016085505,WHY AM I NOT GETTING NOTICED ON EDTWT ANYMORE 😭😭😭 IK SOMETIMES I JUST DIE AND DONT POST BUT AAAAAAA EDTWT EDTWT!!! #EDTWT​#Thinspo​#proana​#promia​#thin #skinny #diet #dietculture #deathspo #bonespo #thinsporation #getskinny #workout #anorexic edtwt edtwt edtwt edtwt edtwt
29,1567849895947640834,2022-11-29 00:48:57+00:00,[1597392134814199808],1597392134814199808,"The only time I appreciate my slow metabolism, is when I stress - eat. I dont gain 😜
#slay #thinspo #tumblr #edtwt #bonespo #thighs #proana #promia #thin https://t.co/PVn0NMZz3z"
30,1380126826018693124,2022-11-29 00:45:01+00:00,[1597391144048295937],1597391144048295937,"Fuck dude my friends are all ordering pizza and I’m so hungry but there’s literally like 300 calories in 1 slice they’re gonna be asking why I’m not eating what do I do 
#edtwt #ricecaketwt #thinspo"
31,1545942513931804672,2022-11-29 00:05:17+00:00,[1597381144596852738],1597381144596852738,"currently attend a afterschool health class (for college creds in the future :] ) and this dude is my masc thinspo rn !! 

🏷️ #edtwt #thinspo https://t.co/IgzBvE7M8m"
